Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
22/01 14:00,153.62,529.3,341.46,0,187.84
22/01 15:00,69.07,428.98,181.92,0,247.06
22/01 16:00,13.38,309.38,0,0,309.38
22/01 17:00,0,371.13,0,0,371.13
22/01 18:00,0,444.13,0,0,444.13
22/01 19:00,0,464.87,0,0,464.87
22/01 20:00,0,438.52,0,0,438.52
22/01 21:00,0,362.85,0,0,362.85
22/01 22:00,0,301.44,0,0,301.44
22/01 23:00,0,241.28,0,0,241.28
23/01 00:00,0,194.88,0,0,194.88
23/01 01:00,0,172.88,0,0,172.88
23/01 02:00,0,162.51,0,0,162.51
23/01 03:00,0,164.28,0,0,164.28
23/01 04:00,0,174.28,0,0,174.28
23/01 05:00,0,195.54,0,0,195.54
23/01 06:00,0,253.24,0,0,253.24
23/01 07:00,0,317.9,0,0,317.9
23/01 08:00,113.26,339.49,110.26,0,229.23
23/01 09:00,66.79,534.87,250.81,0,284.06
23/01 10:00,517.44,255.38,255.38,167.91,0
23/01 11:00,59.67,662.34,361,0,301.33
23/01 12:00,244.06,429.95,337.01,0,92.95
23/01 13:00,44.89,581.28,313.09,0,268.2
23/01 14:00,114.73,443.73,279.23,0,164.5
23/01 15:00,198.72,343.73,271.23,0,72.51
23/01 16:00,125.15,370.53,209.04,0,161.49
23/01 17:00,0,352.19,0,0,352.19
23/01 18:00,0,448.4,0,0,448.4
23/01 19:00,0,470.78,0,0,470.78
23/01 20:00,0,439.52,0,0,439.52
23/01 21:00,0,358.41,0,0,358.41
23/01 22:00,0,285.53,0,0,285.53
23/01 23:00,0,227.74,0,0,227.74
24/01 00:00,0,189.07,0,0,189.07
24/01 01:00,0,170.95,0,0,170.95
24/01 02:00,0,161.88,0,0,161.88
24/01 03:00,0,164.17,0,0,164.17
24/01 04:00,0,173.59,0,0,173.59
24/01 05:00,0,193.92,0,0,193.92
24/01 06:00,0,250.87,0,0,250.87
24/01 07:00,0,311.94,0,0,311.94
24/01 08:00,16.43,382.13,72.5,0,309.63
24/01 09:00,73.38,501.56,258.86,0,242.7
24/01 10:00,64.92,418.3,168.71,0,249.59
24/01 11:00,72.9,594.92,333.91,0,261.01
24/01 12:00,100.7,541.43,321.06,0,220.36
24/01 13:00,98.26,486.65,292.45,0,194.19
24/01 14:00,90.5,434.04,262.27,0,171.77
24/01 15:00,27.77,352.55,124.76,0,227.8
24/01 16:00,18.69,255.72,0,0,255.72
24/01 17:00,0,338.33,0,0,338.33
24/01 18:00,0,428.02,0,0,428.02
24/01 19:00,0,459.27,0,0,459.27
24/01 20:00,0,431.44,0,0,431.44
24/01 21:00,0,359.59,0,0,359.59
24/01 22:00,0,292.24,0,0,292.24
24/01 23:00,0,228.24,0,0,228.24
25/01 00:00,0,190.42,0,0,190.42
25/01 01:00,0,174.02,0,0,174.02
25/01 02:00,0,164.38,0,0,164.38
25/01 03:00,0,162.86,0,0,162.86
25/01 04:00,0,171.71,0,0,171.71
25/01 05:00,0,193.73,0,0,193.73
25/01 06:00,0,246.67,0,0,246.67
25/01 07:00,0,300.26,0,0,300.26
25/01 08:00,1.19,403.18,85.41,0,317.77
25/01 09:00,51.36,405.8,141.22,0,264.58
25/01 10:00,61.54,388.91,138.67,0,250.24
25/01 11:00,147.78,327.55,132.2,0,195.35
